Question Number,Answer,Marks,Correct Answer
1.1,High risk problems are address in the prototype program to make sure that the program is feasible.  A prototype may also be used to show a company that the software can be possibly programmed.,3.5,To simulate the behaviour of portions of the desired software product.
1.1,To simulate portions of the desired final product with a quick and easy program that does a small specific job. It is a way to help see what the problem is and how you may solve it in the final project.,5,To simulate the behaviour of portions of the desired software product.
1.1,A prototype program simulates the behaviors of portions of the desired software product to allow for error checking.,4,To simulate the behaviour of portions of the desired software product.
1.1,"Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product.  Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.",5,To simulate the behaviour of portions of the desired software product.
1.1,It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.,3,To simulate the behaviour of portions of the desired software product.
1.1,To find problem and errors in a program before it is finalized,2,To simulate the behaviour of portions of the desired software product.
1.1,"To address major issues in the creation of the program. There is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible. ",2.5,To simulate the behaviour of portions of the desired software product.
1.1,you can break the whole program into prototype programs to simulate parts of the final program,5,To simulate the behaviour of portions of the desired software product.
1.1,To provide an example or model of how the finished program should perfom.Provides forsight of some of the challanges that would be encountered.Provides opportunity To introduce changes To the finished program.,3.5,To simulate the behaviour of portions of the desired software product.
1.1,Simulating the behavior of only a portion of the desired software product.,5,To simulate the behaviour of portions of the desired software product.
1.1,A program that stimulates the behavior of portions of the desired software product.,5,To simulate the behaviour of portions of the desired software product.
1.1,A program that simulates the behavior of portions of the desired software product.,5,To simulate the behaviour of portions of the desired software product.
1.1,To lay out the basics and give you a starting point in the actual problem solving.,2,To simulate the behaviour of portions of the desired software product.
1.1,To simulate problem solving for parts of the problem,4.5,To simulate the behaviour of portions of the desired software product.
1.1,A prototype program provides a basic groundwork from which to further enhance and improve a solution to a problem.,2,To simulate the behaviour of portions of the desired software product.
1.1,"A prototype program is a part of the Specification phase of Software Problem Solvin.  It's employed to illustrate how the key problem or problems will be solved in a program, and sometimes serves as a base program to expand upon.",4.5,To simulate the behaviour of portions of the desired software product.
1.1,Program that simulates the behavior of portions of the desired software product,5,To simulate the behaviour of portions of the desired software product.
1.1,it provides a limited proof of concept to verify with the client before actually programming the whole application.,2,To simulate the behaviour of portions of the desired software product.
